City_name;LSTM RMSE;LSTM R2
Mudanjiang;0.163373830943439;0.0
Heihe;144.901671235796;-0.4537840581144532
Suihua;299.8518803003966;-374628.800538976
Nanjing;238.67557930795155;-1581.3897821662852
Wuxi;0.0048021146490127295;0.0
Xuzhou;4.57763671875e-05;0.0
Changzhou;1.6367156513179337;-0.41737465677446495
Nantong;0.011608545481844106;0.0
Lianyungang;0.000899443814368539;0.0
Huainan;11.712091483341899;-380.0363519873441
Yancheng;0.16511917114257812;0.0
Yangzhou;539.0599567389598;-11.206177895462206
Zhenjiang;0.2533378601074219;0.0
Suqian;3.1324081420898438;0.0
Hangzhou;1.629966735886268;0.0
Ningbo;0.01814880525041506;0.0
Wenzhou;0.017080699654160265;0.0
Jiaxing;0.0680123973341538;0.0
Huzhou;0.013439178466796875;0.0
Shaoxing;0.0027308628823802515;0.0
Jinhua;0.004523846576180532;0.0
Quzhou;0.2609214782714844;0.0
Zhoushan;0.08052635192871094;0.0
Lishui;0.19024085998535156;0.0
Hefei;1.719940185546875;0.0
Wuhu;0.384735107421875;0.0
Bengbu;0.016885485873682576;0.0
Huaibei;0.43114280700683594;0.0
Tongling;0.19352149963378906;0.0
Anqing;0.0040663785370094;0.0
Huangshan;0.0;1.0
Chuzhou;0.12551116943359375;0.0
Fuyang;0.2929840087890625;0.0
Bozhou;0.00255584716796875;0.0
Chizhou;0.009069442749023438;0.0
Xuancheng;0.026680469512939453;0.0
Xiamen;185.4589307997157;-1.58887687009826
Putian;158.4845134701917;-1.6905911475197106
Sanming;0.0032347474718506537;0.0
Quanzhou;18.715169696070706;-1.8594789478030975
Zhangzhou;2.1321072283334788;-1.1045746774813088
Nanping;0.0849609375;0.0
Longyan;0.0007739067077636719;0.0
Ningde;0.35495567321777344;0.0
Nanchang;0.015380859375;0.0
Jingdezhen;0.003185190782248402;0.0
Pingxiang;0.0017626898374498883;0.0
Jiujiang;0.7999748591938001;-2.0474275643385766
Xinyu;0.2012055851413859;0.0
Yingtan;0.0213165283203125;0.0
Ganzhou;0.2408294677734375;0.0
Shangrao;9.909506932429123;-0.3799652741323323
Jinan;3.814697265625e-06;0.0
Qingdao;7.775543212890625;0.0
Zibo;0.40793800354003906;0.0
Zaozhuang;0.21968650817871094;0.0
Yantai;10.29713771646539;-13.544724503718177
Weifang;0.001712799072265625;0.0
Jining;0.00140380859375;0.0
Weihai;0.0005563353759799058;0.0
Rizhao;7.653803017517799;-0.4232434344578646
Linyi;0.08611829709481399;0.0
Dezhou;0.0052062096090598935;0.0
Liaocheng;0.017883271284046518;0.0
Binzhou;0.1353902816772461;0.0
Heze;0.21157073974609375;0.0
Zhengzhou;146.23882823757424;-8.512407652476979
Kaifeng;7.028926736286447;-10.203131572803104
Luoyang;0.0006693348090006741;0.0
Pingdingshan;0.000247955322265625;0.0
Anyang;0.8090266219954001;-6.27248971276737
Hebi;0.10852622985839844;0.0
Xinxiang;0.0009361347922525657;0.0
Jiaozuo;0.0004468572263751029;0.0
Puyang;0.26595115661621094;0.0
Xuchang;0.9751392361867314;-9.56551698414728
Luohe;0.28960418701171875;0.0
Sanmenxia;0.0;1.0
Nanyang;0.041766910306824084;0.0
Shangqiu;9.592469798520948;-11.779927338268964
Xinyang;0.0201416015625;0.0
Zhoukou;8.158081324408258;-0.32052164475513445
Zhumadian;3.7615816452472393;-8.826039203723758
Wuhan;48966.14171221582;-19460132.528099068
Huangshi;3.62261962890625;0.0
Shiyan;1.36798095703125;0.0
Yichang;0.8648681640625;0.0
Ezhou;39.274192682293894;-17137.46917965481
Jingmen;47.90165208539442;-12.956379245175674
Xiaogan;2270.5443115234375;0.0
Jingzhou;220.579833984375;0.0
Huanggang;1050.4502947955655;-766280.828331833
Xianning;0.5655517578125;0.0
Suizhou;51.1300048828125;0.0
Changsha;3.517356505957022;-4.727683724361869
Zhuzhou;28.38439459582773;-11.279741248479997
Xiangtan;1.8460489830036888;0.0
Hengyang;0.00017453230115809605;0.0
Shaoyang;0.02648162841796875;0.0
Yueyang;0.007908562805841027;0.0
Changde;0.067840576171875;0.0
Zhangjiajie;68.115926899411;-12.411317677188766
Yiyang;2.8431479032383726;-21.45413957579831
Chenzhou;0.200897216796875;0.0
Yongzhou;0.04001617431640625;0.0
Huaihua;0.16132736206054688;0.0
Loudi;0.00023505469946177052;0.0
Guangzhou;944.0049323897946;-104.88389275226625
Shaoguan;0.025217056274414062;0.0
Shenzhen;104.68475241110511;-128.29326574354133
Zhuhai;14.549545288085938;0.0
