lag,out,node_id,metric,friedman_p_value,best_model_by_rank,significant_diff_found
7,7,94,RMSE,5.771953345416447e-06,GCLSTM,True
7,7,94,MAE,6.144212353328207e-06,GCRN,True
7,7,95,RMSE,0.019496896108597995,LSTM,True
7,7,95,MAE,0.08737902619542039,GCRN,False
7,7,96,RMSE,0.0052475183991813855,GCLSTM,True
7,7,96,MAE,0.003388052521834713,GCLSTM,True
7,7,97,RMSE,0.0009118819655545164,GCLSTM,True
7,7,97,MAE,0.007172507245008699,GCLSTM,True
7,7,98,RMSE,0.0009118819655545164,GCLSTM,True
7,7,98,MAE,0.10539922456186433,LSTM,False
7,7,99,RMSE,3.763786373644495e-05,GCLSTM,True
7,7,99,MAE,3.763786373644495e-05,GCLSTM,True
7,7,100,RMSE,0.0029899458563130608,GCLSTM,True
7,7,100,MAE,0.00031513797473735615,GCLSTM,True
7,7,101,RMSE,0.1440636591014533,LSTM,False
7,7,101,MAE,0.028367816449713094,LSTM,True
7,7,102,RMSE,5.4762768601097123e-05,GCRN,True
7,7,102,MAE,0.1440636591014533,GCRN,False
7,7,103,RMSE,4.78511739212901e-06,GCLSTM,True
7,7,103,MAE,4.78511739212901e-06,GCLSTM,True
7,7,104,RMSE,0.010435936462774504,LSTM,True
7,7,104,MAE,0.6456485264278919,LSTM,False
7,7,105,RMSE,0.6456485264278919,GCRN,False
7,7,105,MAE,0.6456485264278919,LSTM,False
7,7,106,RMSE,0.00031513797473735615,GCLSTM,True
7,7,106,MAE,0.00016868120253849854,GCLSTM,True
7,7,107,RMSE,0.08737902619542039,LSTM,False
7,7,107,MAE,0.3049827687110593,GCRN,False
7,7,108,RMSE,0.003388052521834713,GCLSTM,True
7,7,108,MAE,0.00016868120253849854,GCLSTM,True
7,7,109,RMSE,0.0990134083638263,LSTM,False
7,7,109,MAE,0.0680508540250102,LSTM,False
7,7,110,RMSE,0.03877420783172202,LSTM,True
7,7,110,MAE,0.8290291181804004,GCLSTM,False
7,7,111,RMSE,1.2878968743320383e-06,GCLSTM,True
7,7,111,MAE,3.500866670425978e-06,GCLSTM,True
7,7,112,RMSE,0.003388052521834713,GCRN,True
7,7,112,MAE,0.3049827687110593,GCRN,False
7,7,113,RMSE,6.475952175842203e-07,GCLSTM,True
7,7,113,MAE,6.475952175842203e-07,GCLSTM,True
7,7,114,RMSE,0.0009118819655545164,GCRN,True
7,7,114,MAE,6.144212353328207e-06,GCRN,True
7,7,115,RMSE,5.771953345416447e-06,GCRN,True
7,7,115,MAE,5.771953345416447e-06,GCRN,True
7,7,116,RMSE,3.763786373644495e-05,GCRN,True
7,7,116,MAE,4.78511739212901e-06,GCRN,True
7,7,117,RMSE,0.00035709810857624736,GCLSTM,True
7,7,117,MAE,0.1737739434504451,GCRN,False
7,7,118,RMSE,5.771953345416447e-06,GCRN,True
