param_config,K,hidden_channel,model,lag,out,num_reps_found,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max
K2_hc128_lag7_out7,2,128,LSTM,7,7,2,93.60516535004572,0.01435099184578803,590.4894599828616,590.5181619665532,3.9261209763313456,0.01851573812321039,7.744290586804787,7.781322063051208
K2_hc256_lag7_out7,2,256,LSTM,7,7,2,98.98489198722072,2.3952655685162654,588.9048661272695,593.6953972643021,5.1830454173346,1.3734281138685667,7.634832881034447,10.38168910877158
K3_hc32_lag7_out7,3,32,LSTM,7,7,2,95.10132869573098,0.061204645823977444,590.9846412264018,591.1070505180497,4.259381622414592,0.02047889023124938,8.04655624999333,8.087514030455829
K3_hc64_lag7_out7,3,64,LSTM,7,7,2,94.18710777818875,0.38124645736644425,590.3305639662016,591.0930568809345,4.125147493326539,0.00753489174847255,7.927483404277605,7.94255318777455
K3_hc128_lag7_out7,3,128,LSTM,7,7,2,93.60516535004572,0.01435099184578803,590.4894599828616,590.5181619665532,3.9261209763313456,0.01851573812321039,7.744290586804787,7.781322063051208
K3_hc256_lag7_out7,3,256,LSTM,7,7,2,98.98489198722072,2.3952655685162654,588.9048661272695,593.6953972643021,5.1830454173346,1.3734281138685667,7.634832881034447,10.38168910877158
K4_hc32_lag7_out7,4,32,LSTM,7,7,2,95.10132869573098,0.061204645823977444,590.9846412264018,591.1070505180497,4.259381622414592,0.02047889023124938,8.04655624999333,8.087514030455829
K4_hc64_lag7_out7,4,64,LSTM,7,7,2,94.18710777818875,0.38124645736644425,590.3305639662016,591.0930568809345,4.125147493326539,0.00753489174847255,7.927483404277605,7.94255318777455
K4_hc128_lag7_out7,4,128,LSTM,7,7,2,93.60516535004572,0.01435099184578803,590.4894599828616,590.5181619665532,3.9261209763313456,0.01851573812321039,7.744290586804787,7.781322063051208
K4_hc256_lag7_out7,4,256,LSTM,7,7,2,98.98489198722072,2.3952655685162654,588.9048661272695,593.6953972643021,5.1830454173346,1.3734281138685667,7.634832881034447,10.38168910877158
K1_hc32_lag7_out14,1,32,GCRN,7,14,2,54.41945413602484,0.10022898821790704,593.660205780382,593.8606637568178,4.010150478456931,0.011522628065741891,8.356332168115507,8.379377424246991
K1_hc64_lag7_out14,1,64,GCRN,7,14,2,52.449103248906674,0.020747796073123936,593.3171906119456,593.3586862040919,4.098551322038544,0.06586384029941694,8.411714065870584,8.543441746469417
