model_name,lags,out,Accuracy,Precision,Recall,F1_Score
LSTM,4,6,0.8918370487734929,0.6099811506791989,0.271331905964161,0.3755478402268303
GCRN,3,6,0.8867814378483668,0.5952392421824546,0.1738980915253113,0.2691538488005097
GCLSTM,3,6,0.8863827201508325,0.5851371303807256,0.1798800157263241,0.2751438917771183
LSTM,3,6,0.8885117795212093,0.6027536840790652,0.2068878457304451,0.3077145794260726
GCRN,13,2,0.91602077797603,0.7618073503421956,0.4279108911603283,0.5479999545765218
GCLSTM,13,2,0.9162745123208778,0.7610590211670958,0.4318484257774005,0.5510123034719562
LSTM,13,2,0.926281486806242,0.7863207105421502,0.5222901576020889,0.6276681620474824
GCRN,7,5,0.8971945795840126,0.6549457888706114,0.2925763039592854,0.404439997515808
GCLSTM,7,5,0.8970032989743656,0.65079616046955,0.2952420296465877,0.4061856799060092
LSTM,7,5,0.8873114856509592,0.5322362247050643,0.4615873862863733,0.4941130565945525
GCRN,11,6,0.8947627440191661,0.628514012063113,0.2813114912127438,0.388645637260429
GCLSTM,11,6,0.8946808693558926,0.6266368826809671,0.2828608438416908,0.3897726766858939
LSTM,11,6,0.8762447986519482,0.4938208126734348,0.4687511070677616,0.4740991628946697
GCRN,9,7,0.8928569463481256,0.6225011132898641,0.2544304868161272,0.3612155442188192
GCLSTM,9,7,0.8926701399635476,0.6187781361411977,0.2567538852246963,0.362911277821656
LSTM,9,7,0.865179437296429,0.4409242415107209,0.4629522962694003,0.4501368724356184
GCRN,5,6,0.8922626571220335,0.6212324456372543,0.2505306734763591,0.3570589128338262
GCLSTM,5,6,0.8917446339964087,0.61158518341958,0.2561171375403409,0.3610268660075478
LSTM,5,6,0.891878447128694,0.6043089493585413,0.3283140516794507,0.4194181810216054
GCRN,13,8,0.891203968819503,0.6005636535754572,0.2489216158933168,0.3519588186775415
GCLSTM,13,8,0.891100105806396,0.5990967196841097,0.2494126422457315,0.3521839493883538
LSTM,13,8,0.8659398846926216,0.4402893553801548,0.4630607733801497,0.4506930805868931
GCRN,12,2,0.9160562066501504,0.7628671154095279,0.4272124355313226,0.5477010830053233
GCLSTM,12,2,0.916404417459319,0.7593843934160329,0.4352651757648125,0.5533484864210735
LSTM,12,2,0.9251251770364,0.7630471592762251,0.5410909143222966,0.632055923671173
GCRN,3,10,0.8829802874514888,0.5729908614302457,0.1256447485319675,0.2060806754405045
GCLSTM,3,10,0.8825349473062655,0.5596919123695208,0.1328391163842688,0.2146943986267971
LSTM,3,10,0.8838649945017094,0.5853817635426855,0.1374017506663221,0.2222240656601897
GCRN,3,4,0.8904169754585027,0.6442375257526745,0.1872180183388231,0.2901179447075143
GCLSTM,3,4,0.890266583186391,0.6349095491455018,0.1943772812249621,0.2976121040899945
LSTM,3,4,0.8923996320053155,0.6368123747234188,0.2344684412000356,0.3424868454314536
GCRN,2,8,0.8834935430562301,0.5943211120499923,0.1091254320077009,0.1843644621684728
GCLSTM,2,8,0.8832934033545442,0.5866943479950258,0.1116132316778883,0.1875150863823876
LSTM,2,8,0.883868416345097,0.5990441831680877,0.1140322101059582,0.1915854688586554
GCRN,7,2,0.9153885666095934,0.7708463559224723,0.4174255467493845,0.5415758414638863
GCLSTM,7,2,0.9156833030930294,0.7672275135641622,0.4246353818352566,0.5466850144371231
LSTM,7,2,0.922214186535824,0.7431319179602429,0.537439348880889,0.6231850016392773
GCRN,6,2,0.9149270399427564,0.7757238672265009,0.4072155266864923,0.5340681227854802
GCLSTM,6,2,0.9151560144131252,0.7750753238484138,0.4105237695470909,0.5367508601807056
LSTM,6,2,0.9195790208956242,0.7181211945576351,0.5407312283897039,0.6168639637220273
GCRN,2,6,0.8858536142132267,0.6161254113091126,0.127159172189038,0.2107874448735968
GCLSTM,2,6,0.8856823092802241,0.6078968424983204,0.130958358399136,0.2154750480340958
