Identificador,tipo_grafo,RMSE,MAE,R2
LSTM_k1_h256_lags6_out3_alpha0.01,grafo_original,1.1159007128538287,0.1126973168078809,0.4418317033607671
GCRN_k1_h256_lags13_out3_alpha0.01,grafo_original,1.0652967126747164,0.1012055230427013,0.4811515870792525
GCLSTM_k1_h256_lags13_out3_alpha0.01,grafo_original,1.0810427892445826,0.1007955329343188,0.465669337213254
LSTM_k1_h256_lags13_out3_alpha0.01,grafo_original,0.98568630394721,0.1022427047820327,0.5557545582794614
GCRN_k1_h256_lags14_out9_alpha0.01,grafo_original,1.2886837824005402,0.1209188150431249,0.2604047978686973
GCLSTM_k1_h256_lags14_out9_alpha0.01,grafo_original,1.2996771299902652,0.1213971756473491,0.247733018976279
LSTM_k1_h256_lags14_out9_alpha0.01,grafo_original,1.298462303869258,0.1254001298489036,0.2491387520767751
GCRN_k1_h256_lags4_out14_alpha0.01,grafo_original,1.495246881530846,0.1735010215116063,0.0186027148361573
GCLSTM_k1_h256_lags4_out14_alpha0.01,grafo_original,1.5071997630476062,0.1750873493194553,0.0028426647308468
LSTM_k1_h256_lags4_out14_alpha0.01,grafo_original,1.4438354891310003,0.1671924569691453,0.0849567759218612
GCRN_k1_h256_lags8_out14_alpha0.01,grafo_original,1.3660315632994235,0.1365000143470102,0.1811776970691255
GCLSTM_k1_h256_lags8_out14_alpha0.01,grafo_original,1.3721725028076546,0.1380244749986577,0.173798069745882
LSTM_k1_h256_lags8_out14_alpha0.01,grafo_original,1.3808190845943418,0.1305669351611434,0.1633490642444748
GCRN_k1_h256_lags12_out6_alpha0.01,grafo_original,1.1858146056212429,0.112772075373455,0.3675990892214184
GCLSTM_k1_h256_lags12_out6_alpha0.01,grafo_original,1.2024722072776994,0.113587552078816,0.3497055813475417
LSTM_k1_h256_lags12_out6_alpha0.01,grafo_original,1.215272151271779,0.123128102348947,0.3358021904057794
GCRN_k1_h256_lags9_out2_alpha0.01,grafo_original,0.9865107157486266,0.1007691713467029,0.5578853964220303
GCLSTM_k1_h256_lags9_out2_alpha0.01,grafo_original,0.9919408175480008,0.1003166003628887,0.5530048766403566
LSTM_k1_h256_lags9_out2_alpha0.01,grafo_original,1.0163813840062754,0.1051048187717336,0.5307095566548268
GCRN_k1_h256_lags2_out5_alpha0.01,grafo_original,1.267958467556349,0.1471494172342938,0.2852592404066375
