Identificador,tipo_grafo,RMSE,MAE,R2
GCRN_k1_h256_lags11_out6_alpha0.01,grafo_original,587.771127322533,7.123603694450864,0.0088035832326326
GCLSTM_k1_h256_lags11_out6_alpha0.01,grafo_original,588.6135261404822,7.370317811904395,0.0059603560879846
LSTM_k1_h256_lags11_out6_alpha0.01,grafo_original,601.6423951123307,18.92876035577552,-0.0385325921631344
GCRN_k1_h256_lags9_out7_alpha0.01,grafo_original,588.5421970793471,7.403397058304948,0.0078870225853248
GCLSTM_k1_h256_lags9_out7_alpha0.01,grafo_original,589.339901597491,7.61117502844408,0.0051958252221901
LSTM_k1_h256_lags9_out7_alpha0.01,grafo_original,600.8055086478564,18.14715140987557,-0.0338910780762965
GCRN_k1_h256_lags5_out6_alpha0.01,grafo_original,587.7980393333061,7.80132283756046,0.008054350918478
GCLSTM_k1_h256_lags5_out6_alpha0.01,grafo_original,589.1520391752418,7.98402978025304,0.0034790022480383
LSTM_k1_h256_lags5_out6_alpha0.01,grafo_original,594.9395470859013,12.960310272548512,-0.0161954666910197
GCRN_k1_h256_lags13_out8_alpha0.01,grafo_original,590.0093658521089,7.322748831436118,0.0058354447588604
GCLSTM_k1_h256_lags13_out8_alpha0.01,grafo_original,590.3730652806638,7.421256411866922,0.0046095406441164
LSTM_k1_h256_lags13_out8_alpha0.01,grafo_original,604.1192371581641,19.713856758545024,-0.0422895324325858
GCRN_k1_h256_lags12_out2_alpha0.01,grafo_original,583.1210726654683,7.072994544755912,0.0364749929258177
GCLSTM_k1_h256_lags12_out2_alpha0.01,grafo_original,585.5309175335886,7.199117896712034,0.0284944058110064
LSTM_k1_h256_lags12_out2_alpha0.01,grafo_original,602.8955242071158,16.734507999368276,-0.0299875054497503
GCRN_k1_h256_lags3_out10_alpha0.01,grafo_original,589.7978997156704,8.660937861139391,0.0044474878529323
GCLSTM_k1_h256_lags3_out10_alpha0.01,grafo_original,590.3429614806894,8.719878855467542,0.002606561010371
