City_name;Prophet RMSE;Prophet R2
Yiyang;2.7575176001949617;-7.405983196906632
Chenzhou;0.02037390151673732;0.0
Yongzhou;0.08140163192128308;0.0
Huaihua;0.23288545017406792;0.0
Loudi;0.4327778236402627;0.0
Guangzhou;120.71808114790743;-0.45845460811289107
Shaoguan;0.014937347037697895;0.0
Shenzhen;12.14262329162777;-0.4673916497966304
Zhuhai;3.001011539562169;0.0
Shantou;0.09266015399325138;0.0
Foshan;12.385267890931933;0.4516884171941675
Jiangmen;3.7351399192014894;-54.94296150958949
Zhanjiang;7.264483188576605;0.0
Maoming;0.027385625807507846;0.0
Zhaoqing;4.170665860083539;-2.368324447121478
Huizhou;0.1784396199359471;0.0
Meizhou;0.009274540373703911;0.0
Shanwei;0.05552076031237255;0.0
Heyuan;0.008712297305615319;0.0
Yangjiang;7.097145426976245;-1.5368740041972608
Qingyuan;2.433660731758093;-21.32637264006597
Dongguan;15.579904899637334;-1.3838351605627706
Zhongshan;2.1105456792038404;-20.53647551447063
Chaozhou;0.0345806057224338;0.0
Jieyang;0.018483121300277513;0.0
Nanning;0.17827326234044782;0.0
Liuzhou;0.02294177233413794;0.0
Guilin;0.0830360475040137;0.0
Wuzhou;0.02270541916123377;0.0
Beihai;0.03924289884220884;0.0
Fangchenggang;0.013029320984554433;0.0
Qinzhou;0.05417917952293265;0.0
Guigang;0.03845552599045202;0.0
Haikou;1.87485427635997;-8.876099039478898
Sanya;1.2263740354467687;0.0
Chengdu;92.24381171735675;-7.420897201095665
Zigong;0.5715186701623809;-0.6073768340674677
Panzhihua;0.03129749554927127;0.0
Luzhou;0.9547360110936196;-10.706683485997761
Deyang;0.05473482485093516;0.0
Mianyang;1.0034913739717355;-28.441274051669094
Guangyuan;0.960511610733909;-6.912797136809649
Suining;0.030857741925471197;0.0
Neijiang;0.03290919659516591;0.0
Leshan;0.013597423062394696;0.0
Nanchong;0.05450404007524982;0.0
Meishan;0.011686818294492847;0.0
Yibin;0.9734010345731366;-13.379723544154345
Dazhou;0.04025296106421586;0.0
Bazhong;0.20448461562053755;0.0
Ziyang;0.0061449921892608676;0.0
Guiyang;0.03291892861552928;0.0
Liupanshui;0.09081076667476347;0.0
Zunyi;6.426672582035782;-0.4600572858122296
Anshun;0.021965061457747098;0.0
Kunming;0.038732477232797505;0.0
Qujing;0.054893459000337035;0.0
Yuxi;0.035641356366378815;0.0
Alidiqu;0.0;1.0
Tongchuan;0.048486223155926975;0.0
Baoji;0.023263003620619765;0.0
Xianyang;0.1976163529279908;-0.41678329262920033
Weinan;0.6241576737391277;0.0
Hanzhong;0.020698956111071202;0.0
Ankang;0.016800041818043544;0.0
Lanzhou;43.07624720137406;-0.45134978423173555
Jinchang;0.004364925326725029;0.0
Baiyin;0.03697260518840935;0.0
Tianshui;18.718492522394527;-0.34898991342145336
Xining;5.945792301414321;-0.3575296690712271
Yinchuan;17.309200857854368;-0.40155939007434527
Shizuishan;0.0048785936460463;0.0
Wuzhong;5.554834566169087;-0.4806233222878329
Hetiandiqu;0.0;1.0
