param_config,K,hidden_channel,model,lag,out,num_reps_found,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max
K3_hc128_lag7_out14,3,128,GCRN,7,14,2,4.756088121154799,0.3217688722200154,5.211138980753416,5.854676725193447,0.3663678054471716,0.02130392861462138,0.37765133234237946,0.4202591895716222
K3_hc256_lag7_out14,3,256,GCRN,7,14,2,3.242744859529819,0.15279656097947192,3.6718706954600657,3.9774638174190096,0.2466339363827616,0.0069079301982399866,0.27852283301967534,0.2923386934161553
K4_hc32_lag7_out14,4,32,GCRN,7,14,2,11.450978600569405,0.33230419194249894,13.137208512781946,13.801816896666944,0.8359464995154682,0.012187916506446184,0.8828492681420047,0.9072251011548971
K4_hc64_lag7_out14,4,64,GCRN,7,14,2,13.769017924247786,0.9024841816891724,14.784798190117604,16.58976655349595,0.9825237639155471,0.1060268825908986,0.9281994048465113,1.1402531700283085
K4_hc128_lag7_out14,4,128,GCRN,7,14,2,13.465663063628735,0.17424720151439388,14.766056962127497,15.114551365156284,0.8121855625680322,0.009415809052440383,0.8674557316092396,0.8862873497141204
K4_hc256_lag7_out14,4,256,GCRN,7,14,2,12.87361889903392,0.11663851378810275,14.142631446709567,14.375908474285772,0.7737822435452472,0.004620373886493945,0.8214305920733843,0.8306713398463722
K1_hc32_lag7_out14,1,32,GCLSTM,7,14,2,1.0715803166190083,0.02980151799990849,1.4432704879833673,1.5028735239831843,0.1389224752577865,0.007794824547006252,0.15184364171408726,0.16743329080809977
K1_hc64_lag7_out14,1,64,GCLSTM,7,14,2,1.0034160399441685,0.0016864956999368408,1.4129024869714746,1.4162754783713483,0.11981538651464138,0.00025860434266147814,0.14351367039296636,0.14403087907828932
K1_hc128_lag7_out14,1,128,GCLSTM,7,14,2,0.9784830221414266,0.0013554399921306137,1.387599088545392,1.3903099685296532,0.11410293286105919,0.0006757664934497892,0.1426650001180666,0.14401653310496618
K1_hc256_lag7_out14,1,256,GCLSTM,7,14,2,0.9661590651261259,0.0005011960035172791,1.3730861298930381,1.3740885219000727,0.11173418403541154,0.0001904931668155474,0.14049056731141452,0.1408715536450456
