param_config,K,hidden_channel,model,lag,out,num_reps_found_for_config,node_id,RMSE,MAE
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,101,0.0007289558758207601,0.0006331830457862389
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,102,0.0009197912209792727,0.0007793904065884247
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,103,0.05734238446552127,0.012162448050033524
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,104,0.0017582344916156221,0.0014482073519773843
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,105,0.02500719432498317,0.021766997403360133
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,106,0.0014544353586584827,0.0011873861426608659
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,107,4.2228677273046635,1.034757365111423
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,108,0.00341457839613301,0.0029382624428823927
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,109,0.0008583727079422814,0.0007122426472451829
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,110,0.0034237129948304157,0.002952982660872807
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,111,0.008121723334634411,0.006826048076979018
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,112,0.0006936780159831585,0.0005721168324024604
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,113,0.005923367201844564,0.004836345164926785
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,114,0.0008247753535959621,0.0006819602382952048
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,115,0.002476374479396382,0.001983222814715222
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,116,0.0012492314466767116,0.001019947721703252
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,117,5.594823390520958,1.5544935795432835
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,118,0.0006825069554320436,0.0005719617927731738
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,119,0.012632991222699745,0.01142045028596273
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,120,0.07749720799330212,0.01908206507146043
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,121,0.0009836604175695795,0.0008595721622621807
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,122,0.0018481938838044373,0.001687723049481381
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,123,0.8768779240082948,0.24050252057259397
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,124,0.0009762352918350556,0.0008297522368971687
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,125,0.013675279615883362,0.01294651933252923
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,126,0.5003991234176991,0.12804042147615957
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,127,0.0004583022532585687,0.00038039335111046294
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,128,0.001769622679656778,0.001574315925892175
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,129,0.0021624372040219956,0.0017617315729446137
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,130,0.53793522837853,0.16147237062632558
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,131,0.553959068235156,0.21245607996805813
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,132,0.0007847225793600407,0.0006324515699199457
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,133,0.0014351449070500186,0.0013120906192884483
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,134,0.0014132629420864672,0.0012662373917992453
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,135,2.350682858255534,0.24178255938835228
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,136,0.006486243264596443,0.005595420396043301
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,137,0.1766375280333931,0.06005738938458853
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,138,0.6272018981002785,0.5082623713131058
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,139,2.979178202352156,1.0047126613951793
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,140,0.124825137630821,0.11418897060164303
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,141,0.0016084690985714177,0.0015272125405242389
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,142,0.004645316249717944,0.004027914494636866
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,143,0.0012691323676904084,0.0011437717285765067
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,144,0.0004733341637992591,0.0003715718644025142
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,145,0.14010123374207833,0.09905483174332509
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,146,0.0013046124128039786,0.0011122092567268527
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,147,0.13238650668874155,0.033174033291079416
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,148,0.007225736977829644,0.006216737027914846
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,149,0.0007467867883857806,0.0006127025318263485
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,150,0.0016747255353351535,0.001347000710450332
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,151,0.003697565690003701,0.0031900101325179524
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,152,0.004677529127534433,0.0044003796730489415
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,153,0.0024335901413287822,0.0022465289960903394
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,154,0.1758770125764364,0.025459053511806818
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,155,0.0023218195396703645,0.001957560580332123
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,156,0.0016820343262751623,0.0013508240869113492
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,157,0.0006825069554320446,0.0005719617927731748
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,158,0.03188015123380555,0.027496243110359607
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,159,0.001661133565871461,0.0015703124230361935
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,160,2.15815247370003,1.631918313780015
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,161,0.0016334331174706364,0.0013367805913302123
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,162,0.006245709131162858,0.005478260610091835
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,163,0.3816231075894424,0.10687529968327465
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,164,0.0018635981796329944,0.001733437990220405
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,165,6.094694977841093,1.844598184126015
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,166,0.13922301616469868,0.03713849120027609
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,167,0.09267227231326884,0.013659018513458195
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,168,0.21069750523643538,0.04508660716492605
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,169,0.500471180409618,0.11887006152975826
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,170,0.031749858517163936,0.027934486985561547
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,171,0.008356039796127259,0.007212082481356247
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,172,0.0030304003410779948,0.002832208793991055
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,173,0.0008982061440854603,0.0007580207657611873
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,174,0.616548860903856,0.09415944508166424
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,175,0.001216795070664392,0.0011232644980451708
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,176,9.87223660954127,3.6075904304276323
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,177,0.5891948748778141,0.12734611400639254
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,178,0.08789824554079717,0.01508446219326374
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,179,0.0016084690985714177,0.0015272125405242389
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,180,0.6144795250243179,0.2649784639456198
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,181,0.015158177000934447,0.014381762595027398
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,182,0.0011487696096201747,0.0009482605909813434
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,183,0.2103056553482348,0.059102853337105084
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,184,0.0019155419370414529,0.001535635315180698
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,185,0.001483600825601243,0.0013911068355755482
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,186,0.0005241273706879894,0.0004090170618078256
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,187,0.0024288972185730995,0.0021972809434615418
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,188,0.0007732869051939247,0.0006429092803407091
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,189,1.3969737519419212,0.475345836493785
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,190,0.0017699999962435275,0.0014280923353858286
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,191,0.20353615267878233,0.04013873856144557
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,192,0.0011151364487029817,0.0008481193993340994
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,193,0.2788852503668818,0.10845456441823215
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,194,5.141495914097561,1.7744011270663427
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,195,0.000697412654356721,0.0005698503876701516
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,196,0.12026011920939293,0.038908934138040786
